epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,64.9089,2.09738,0.69458,0.9803,1.36708,0.000236224,0.000236224,0.000236224
2,142.113,1.24787,0.81773,0.99015,0.53841,0.00045075,0.00045075,0.00045075
3,201.843,0.73153,0.84729,0.99015,0.40832,0.000641714,0.000641714,0.000641714
4,276.331,0.54116,0.84729,0.99507,0.36377,0.000607971,0.000607971,0.000607971
5,334.496,0.44425,0.89163,0.99507,0.33492,0.000572628,0.000572628,0.000572628
6,395.957,0.37876,0.91133,0.99015,0.32493,0.000537285,0.000537285,0.000537285
7,449.967,0.35396,0.9064,0.99507,0.31047,0.000501942,0.000501942,0.000501942
8,515.891,0.29932,0.89163,0.99015,0.34843,0.000466599,0.000466599,0.000466599
9,564.994,0.29629,0.89655,0.99015,0.34359,0.000431256,0.000431256,0.000431256
10,607.556,0.23718,0.91626,0.99015,0.32012,0.000395913,0.000395913,0.000395913
11,650.941,0.22677,0.92118,0.99015,0.33817,0.00036057,0.00036057,0.00036057
12,694.271,0.20135,0.93596,0.99015,0.25199,0.000325227,0.000325227,0.000325227
13,750.001,0.17558,0.92611,0.99015,0.29482,0.000289884,0.000289884,0.000289884
14,815.713,0.16697,0.92118,0.99015,0.32166,0.000254541,0.000254541,0.000254541
15,878.777,0.17369,0.92611,0.99015,0.30102,0.000219198,0.000219198,0.000219198
16,937.437,0.16375,0.93103,0.99015,0.31772,0.000183855,0.000183855,0.000183855
17,996.628,0.15801,0.92611,0.99015,0.36754,0.000148512,0.000148512,0.000148512
18,1057.32,0.1662,0.92611,0.99015,0.31378,0.000113169,0.000113169,0.000113169
19,1117.78,0.14741,0.92118,0.99015,0.31562,7.7826e-05,7.7826e-05,7.7826e-05
20,1177.7,0.14291,0.93103,0.99015,0.32143,4.2483e-05,4.2483e-05,4.2483e-05
