epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8073,1.47065,8.2807,0.47927,2.58098,1.35731,0.72552,0.80483,0.82788,0.51499,0.26963,0.24792,0.16839,0.04483,1.22136,6.68852,0.32895,2.06085,1.11276,0.00053344,0.00053344,0.00053344
2,103.311,1.49586,7.79709,0.33802,1.80746,1.2877,0.8047,0.73185,0.8351,0.49906,0.00431,0.01248,0.00119,0.00026,1.27631,9.67897,0.32408,1.45531,1.19074,0.00104779,0.00104779,0.00104779
3,170.381,1.27675,8.0981,0.32275,1.64403,1.29551,0.80522,0.77621,0.86136,0.57607,0.00611,0.00707,0.00064,0.00012,1.08101,10.137,0.30702,1.70568,1.14794,0.00152584,0.00152584,0.00152584
4,255.406,1.37532,7.90451,0.30379,1.45278,1.30301,0.82164,0.74418,0.84339,0.49466,0.02212,0.02454,0.00212,0.00039,1.35234,10.0194,0.27648,1.15411,1.24061,0.00150197,0.00150197,0.00150197
5,346.049,1.31334,7.59481,0.26969,1.32305,1.23623,0.84987,0.73706,0.84818,0.49845,0.07288,0.03785,0.00802,0.00187,1.39334,9.62621,0.25371,1.16964,1.26558,0.00144696,0.00144696,0.00144696
6,442.989,1.31978,7.58991,0.25832,1.30708,1.23408,0.85916,0.73003,0.84486,0.53952,0.06414,0.03952,0.00684,0.00141,1.24559,9.51688,0.22386,1.26818,1.24372,0.00139195,0.00139195,0.00139195
7,532.271,1.26513,7.55812,0.23985,1.3027,1.22961,0.78766,0.70208,0.79723,0.49249,0.00596,0.00499,0.00081,0.00014,1.28809,9.87086,0.20287,1.31483,1.23522,0.00133693,0.00133693,0.00133693
8,618.806,1.15648,7.59029,0.21931,1.11016,1.16098,0.84607,0.77053,0.86793,0.57736,0.03028,0.04201,0.00329,0.00064,1.17107,9.46619,0.18005,1.09067,1.17333,0.00128192,0.00128192,0.00128192
9,707.131,1.21024,7.33002,0.20643,1.25653,1.20557,0.86057,0.83527,0.91038,0.61155,0.04156,0.04285,0.00485,0.00101,1.11166,9.12083,0.16556,0.92339,1.12006,0.00122691,0.00122691,0.00122691
10,789.576,1.07863,7.11537,0.19151,1.09465,1.13563,0.8459,0.81059,0.90115,0.59344,0.06251,0.06572,0.00951,0.00181,1.15359,8.88577,0.15197,0.95046,1.13657,0.0011719,0.0011719,0.0011719
11,863.948,1.04843,7.39715,0.18491,0.99612,1.0934,0.891,0.83644,0.92455,0.64901,0.14733,0.12812,0.03759,0.00828,1.06033,8.50272,0.13842,0.87313,1.09942,0.00111689,0.00111689,0.00111689
12,945.812,1.10197,6.82328,0.18072,1.0709,1.14094,0.89124,0.84484,0.92117,0.64691,0.07002,0.06489,0.01352,0.00282,1.06227,9.02529,0.13014,0.87508,1.09495,0.00106188,0.00106188,0.00106188
13,1026.78,1.03582,6.70376,0.17822,1.05122,1.10134,0.89847,0.83925,0.92721,0.63455,0.03589,0.05574,0.00742,0.00185,1.10609,9.11281,0.12976,0.87923,1.10907,0.00100687,0.00100687,0.00100687
14,1116.88,1.10844,6.78329,0.17719,1.02169,1.14266,0.9077,0.8509,0.93561,0.64158,0.03956,0.0574,0.00872,0.00224,1.08049,8.96782,0.12971,0.87549,1.10195,0.000951857,0.000951857,0.000951857
15,1198.97,1.06245,6.64763,0.15666,0.93143,1.10354,0.90942,0.83527,0.92857,0.6232,0.12356,0.11689,0.03016,0.00695,1.127,7.90198,0.12357,0.86146,1.1601,0.000896846,0.000896846,0.000896846
16,1279.58,1.06171,6.01313,0.15495,0.8912,1.11447,0.91418,0.84859,0.93128,0.64026,0.19118,0.17206,0.05184,0.01199,1.06351,7.81239,0.10872,0.82238,1.10344,0.000841835,0.000841835,0.000841835
17,1365.72,1.04506,6.10833,0.154,0.91352,1.12413,0.92501,0.86196,0.94251,0.67231,0.20109,0.17762,0.04946,0.01212,0.99581,8.03554,0.09934,0.77842,1.05239,0.000786824,0.000786824,0.000786824
18,1459.49,0.96625,5.90327,0.14131,0.87024,1.0823,0.91472,0.85219,0.93985,0.67104,0.16929,0.15433,0.0373,0.0095,1.00026,8.52347,0.09698,0.77628,1.06119,0.000731813,0.000731813,0.000731813
19,1542.02,1.01643,5.87548,0.147,0.91166,1.0899,0.91637,0.83361,0.93634,0.66587,0.16884,0.15266,0.03533,0.00881,1.01629,8.48865,0.09723,0.78589,1.07547,0.000676802,0.000676802,0.000676802
20,1615.5,1.03776,5.96796,0.14095,0.9048,1.12901,0.88822,0.84945,0.93351,0.67076,0.26852,0.24085,0.08527,0.02279,1.01713,7.67075,0.09192,0.79249,1.07528,0.000621791,0.000621791,0.000621791
21,1676.88,0.91576,6.07968,0.08813,0.83789,1.06732,0.90514,0.82696,0.93093,0.66122,0.25461,0.21199,0.07896,0.02175,1.06051,7.70062,0.08978,0.83678,1.07798,0.00056678,0.00056678,0.00056678
22,1747.81,0.90142,6.03707,0.08587,0.81142,1.01898,0.91544,0.82413,0.93021,0.65765,0.19572,0.17429,0.05259,0.013,1.06877,7.91876,0.09225,0.92441,1.07908,0.000511769,0.000511769,0.000511769
23,1831.75,0.84569,5.69103,0.08772,0.81398,1.01482,0.91885,0.84609,0.93941,0.67135,0.26366,0.23336,0.08357,0.0201,1.01736,7.48266,0.09406,0.8096,1.06454,0.000456758,0.000456758,0.000456758
24,1911,0.83116,5.80006,0.0882,0.72846,0.96657,0.91114,0.85304,0.94005,0.66502,0.30565,0.28037,0.11856,0.03091,1.02361,7.04872,0.09007,0.77976,1.07096,0.000401747,0.000401747,0.000401747
25,1989.98,0.83404,5.597,0.08471,0.74367,0.97968,0.91597,0.83884,0.93822,0.65842,0.29676,0.26123,0.11226,0.02925,1.01864,7.21875,0.08534,0.78064,1.06674,0.000346736,0.000346736,0.000346736
26,2068.89,0.77993,5.3522,0.0788,0.67747,0.96699,0.90551,0.84513,0.93696,0.66413,0.2472,0.22379,0.07989,0.02218,1.00728,7.77208,0.07868,0.77519,1.06182,0.000291725,0.000291725,0.000291725
27,2149.03,0.84159,5.32602,0.07629,0.72058,1.01169,0.92197,0.83902,0.93817,0.66836,0.28642,0.25582,0.10101,0.02751,1.01191,7.60373,0.07593,0.76752,1.07025,0.000236714,0.000236714,0.000236714
28,2229.95,0.82337,5.1626,0.07385,0.66746,1.00822,0.90748,0.84864,0.93696,0.67137,0.33674,0.29908,0.13691,0.03906,1.01095,7.1506,0.07308,0.77444,1.07411,0.000181703,0.000181703,0.000181703
29,2309.96,0.87483,5.11924,0.07177,0.73241,1.02638,0.92576,0.83509,0.93698,0.67449,0.34817,0.30616,0.14386,0.04221,0.99874,7.04458,0.07,0.77459,1.06791,0.000126692,0.000126692,0.000126692
30,2374.92,0.81657,4.77425,0.06897,0.67706,0.98804,0.92362,0.83943,0.93798,0.67643,0.36302,0.31648,0.15223,0.04512,0.99045,6.98035,0.06924,0.76258,1.06318,7.1681e-05,7.1681e-05,7.1681e-05
