epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,1163.37,1.58878,1.72928,1.76698,0.04323,0.7395,0.79818,0.8422,0.46931,1.47547,1.19483,1.70765,0.00677,0.000475879,0.000475879,0.000475879
2,2455.24,1.39082,1.12325,1.66702,0.00617,0.84177,0.85146,0.88645,0.50935,1.45362,0.9892,1.65821,0.00595,0.000920789,0.000920789,0.000920789
3,3587.39,1.38735,1.08422,1.65078,0.00526,0.79244,0.87246,0.88673,0.54348,1.22347,0.90083,1.53982,0.00352,0.00133426,0.00133426,0.00133426
4,4860.54,1.35644,1.02069,1.64388,0.00447,0.87095,0.83339,0.91572,0.56328,1.31759,0.84257,1.53128,0.00374,0.00128753,0.00128753,0.00128753
5,6023.15,1.32211,0.97737,1.6056,0.00411,0.85288,0.86793,0.90854,0.57286,1.20841,0.85608,1.50512,0.00332,0.00124037,0.00124037,0.00124037
6,7105.18,1.30803,0.96747,1.61452,0.00383,0.90644,0.86735,0.92556,0.55092,1.33655,0.77938,1.56011,0.00385,0.00119322,0.00119322,0.00119322
7,8240.36,1.29369,0.92845,1.59719,0.0042,0.90806,0.88811,0.92925,0.56704,1.31305,0.77749,1.52041,0.00336,0.00114606,0.00114606,0.00114606
8,9398.48,1.26996,0.90411,1.58975,0.00378,0.89727,0.88646,0.92579,0.58335,1.20448,0.77101,1.47917,0.00351,0.0010989,0.0010989,0.0010989
9,10468.1,1.26385,0.88366,1.57682,0.0042,0.89888,0.89887,0.92957,0.57478,1.19672,0.72115,1.46112,0.00602,0.00105174,0.00105174,0.00105174
10,11585.6,1.24975,0.84122,1.53544,0.00434,0.90665,0.91109,0.94449,0.59577,1.18767,0.7127,1.45596,0.00668,0.00100459,0.00100459,0.00100459
11,12721.4,1.24277,0.83185,1.55762,0.00472,0.90616,0.89447,0.93231,0.57079,1.25941,0.73797,1.46561,0.00802,0.00095743,0.00095743,0.00095743
12,13844.7,1.23282,0.81833,1.50879,0.00622,0.91055,0.92158,0.9502,0.62518,1.18824,0.66451,1.4275,0.00682,0.000910273,0.000910273,0.000910273
13,14963.9,1.22358,0.82025,1.51728,0.00588,0.87875,0.91974,0.93849,0.61704,1.14353,0.6755,1.37877,0.00867,0.000863116,0.000863116,0.000863116
14,29685.8,1.21543,0.79113,1.49212,0.00825,0.90661,0.94312,0.94758,0.6096,1.14616,0.65398,1.39645,0.00685,0.000815959,0.000815959,0.000815959
15,31764.5,1.19323,0.77686,1.48592,0.00609,0.91628,0.92496,0.94152,0.61814,1.11837,0.63704,1.38595,0.00497,0.000768802,0.000768802,0.000768802
